Pressure (MPa),Temperature (°C),Specific Volume (m³/kg),Enthalpy (kJ/kg),Entropy (kJ/kg·K),Internal Energy (kJ/kg),Viscosity (μPa·s),Thermal Conductivity (mW/m·K),Density (kg/m³),Prandtl Number (dimensionless)
0.01,374.0,29.86265567262184,3226.50016932053,9.528387825361786,2927.8736125943105,23.3816268311889,51.56549392287075,0.03348664000157235,928.315971933835
0.4600816326530612,0.1,0.0009999679203692886,0.8481163073611586,0.0014201581070900618,0.3880494340320083,1784.7341949030433,556.1782004948758,1000.032080659847,13533.076704928439
0.4600816326530612,3.8767676767676766,0.0009998476523115976,16.75402830004669,0.05923182869984212,16.29401675726803,1572.95302592207,565.4309435954485,1000.1523709017571,11701.172909196763
0.4600816326530612,7.653535353535353,0.0009999553426901482,32.6234911667567,0.11612992394870857,32.16343008013284,1398.7521633504075,573.9948557784016,1000.0446593042161,10229.727518553173
0.4600816326530612,11.43030303030303,0.0010002666817291088,48.465584096864006,0.17217098396757446,48.00537976886389,1253.569282754874,581.9660078942186,999.7333893710747,9028.90985541935
0.4600816326530612,15.207070707070706,0.0010007621217455352,64.28726934364113,0.22740191960145323,63.82683707281923,1131.1661770605244,589.4193394325724,999.2384586416941,8035.387778675565
0.4600816326530612,18.983838383838386,0.0010014257240345422,80.09396135061206,0.2818624754947624,79.63322376852207,1026.9110851063595,596.4137676963056,998.5763057605528,7203.459146333832
0.4600816326530612,22.76060606060606,0.001002244340453602,95.88991394617786,0.3355869158354977,95.42879973369749,937.3061074151371,602.995943543507,997.7606853308984,6499.46415405133
0.4600816326530612,26.537373737373738,0.0010032070192333986,111.6784958860185,0.3886052280385967,111.21693876281049,859.6688016378945,609.2030550082729,996.8032328603031,5898.159895985024
0.4600816326530612,30.314141414141414,0.0010043045647378838,127.46239478537471,0.44094401347216133,127.00033270160422,791.9132183329368,615.0649466613909,995.7138851210865,5380.30705518288
0.4600816326530612,34.09090909090909,0.0010055292053653866,143.24377286970537,0.49262716523196315,142.78114735116537,732.3965156382567,620.6057381996695,994.5011986366151,4931.026826452456
0.4600816326530612,37.86767676767677,0.0010068743390288677,159.0243887014413,0.5436763943979198,158.561144311682,679.8096963578182,625.8450708746986,993.1725948686923,4538.659604300179
0.4600816326530612,41.644444444444446,0.0010083343353674689,174.8056937886227,0.5941116442235016,174.3417776813657,633.0985742993809,630.7990737330575,991.7345516510339,4193.9578391983005
0.4600816326530612,45.42121212121212,0.0010099043801717466,190.58890994492765,0.6439514188274231,190.1242714888222,591.4057963257575,635.4811165900526,990.192754515965,3889.5058792142745
0.4600816326530612,49.1979797979798,0.0010115803517188886,206.37509147707286,0.6932130451519265,205.90968193729944,554.0277541710674,639.902399164472,988.5522176273874,3619.2967549258406
0.4600816326530612,52.974747474747474,0.0010133587215743144,222.16517517380913,0.7419128820294842,221.69894743876407,520.3821736124078,644.0724133584478,986.8173813577478,3378.4192395597756
0.4600816326530612,56.75151515151515,0.0010152364743958064,237.96002036711056,0.7900664869407952,237.49292871244967,489.98345982137397,647.9993066702762,984.9921916912274,3162.823539699192
0.4600816326530612,60.528282828282826,0.0010172110426710022,253.7604408655851,0.8376887487765083,253.29244074827778,462.4237449759739,651.6901681270077,983.0801653255659,2969.1438138792228
0.4600816326530612,64.3050505050505,0.0010192802533188806,269.5672302202324,0.8847939932528068,269.0982780971619,437.3581753753377,655.1512532218845,981.0844434039586,2794.562276639763
0.4600816326530612,68.08181818181818,0.0010214422838104916,285.38118153313644,0.9313960663735011,284.91123469949076,414.493383813901,658.3881606608267,979.0078361251101,2636.704088008082
0.4600816326530612,71.85858585858585,0.0010236956260013892,301.2031028165834,0.9775084003307258,300.7321192616469,393.57837887753834,661.4059709275416,976.8528599717226,2493.5552807021018
0.4600816326530612,75.63535353535353,0.0010260390562684982,317.03382875269045,1.0231440654344504,316.5617670285165,374.3972853068988,664.2093545381699,974.6217689186248,2363.3981026205633
0.4600816326530612,79.4121212121212,0.0010284716108461673,332.87422956401366,1.068315811008891,332.40104866614854,356.76351457267793,666.8026562070155,972.3165806951712,2244.7596504139897
0.4600816326530612,83.18888888888888,0.0010309925654893104,348.7252175951209,1.1130360976475915,348.25087685234473,340.5150497276479,669.1899598602215,969.9390989549945,2136.370738303621
0.4600816326530612,86.96565656565656,0.0010336014187700719,364.5877521053899,1.1573171227739354,364.1122110771341,325.5106052684252,671.3751384306564,967.4909320363979,2037.1327163290066
0.4600816326530612,90.74242424242424,0.0010362978784546136,380.46284269170883,1.2011708410828683,379.98606107187544,311.6264792835321,673.3618915759321,964.973508863356,1946.0905127935666
0.4600816326530612,94.51919191919191,0.0010390818505175933,396.3515516891369,1.2446089811315066,395.87348921491537,298.7539572328794,675.1537738350304,962.3880924316736,1862.4105876657509
0.4600816326530612,98.29595959595959,0.001041953430439998,412.25499583716464,1.287643059094021,411.7756122017414,286.7971582649417,676.7542152402586,959.7357912413783,1785.3627891780288
0.4600816326530612,102.07272727272726,0.0010449128965066424,428.1743474493346,1.3302843904906787,427.6936022179433,275.67123884451996,678.166536002979,957.0175689698199,1714.3053343006266
0.4600816326530612,105.84949494949494,0.0010479607048779498,444.11083528188897,1.3725441005296624,443.62868780982694,265.30088664822495,679.3939565712651,954.2342526254021,1648.6723059747094
0.4600816326530612,109.62626262626262,0.0010510974862579798,460.0657452608292,1.4144331335654767,459.5821546132831,255.61905164093133,680.4396041000458,951.3865393781006,1587.9631908005979
0.4600816326530612,113.40303030303029,0.0010543240440204274,476.04042119961525,1.4559622620670956,475.5553460720974,246.5658720314268,681.3065161659463,948.4750022267585,1531.734080977992
0.4600816326530612,117.17979797979797,0.0010576413536878993,492.03626561433623,1.4971420954019372,491.54966425356247,238.08776119543836,681.9976423904158,945.5000946332998,1479.590241441885
0.4600816326530612,120.95656565656564,0.0010610505636889731,508.0547407258452,1.5379830886727943,507.5665708501907,230.1366282226049,682.5158444974546,942.4621542288073,1431.1798029928461
0.4600816326530612,124.73333333333332,0.0010645529973429104,524.0973697225169,1.57849555179136,523.6075884414579,222.66920991800342,682.8638952207831,939.3614056754031,1386.1883889668152
0.4600816326530612,128.510101010101,0.0010681501560445956,540.1657383464361,1.618689658932652,539.6743020787155,215.64649618840372,683.0444763847227,936.1979627499579,1344.3345197257484
0.4600816326530612,132.28686868686867,0.00107184372364401,556.2614968575061,1.6585754584829158,555.7683612472078,209.033234009804,683.0601764080593,932.971829699428,1305.3656683013949
0.4600816326530612,136.06363636363636,0.0010756355720340349,572.3863624244211,1.6981628835740266,571.8914822543077,202.79749779000917,682.9134874200405,929.6829019042134,1269.0548636253052
0.4600816326530612,139.84040404040402,0.0010795277679802027,588.542121987821,1.7374617632835303,588.0454510898414,196.91031604757129,682.6068021276277,926.3309658731621,1235.197756260832
0.4600816326530612,143.61717171717171,0.0010835225812458457,604.730635640877,1.776481834570871,604.232126802683,191.3453460341433,682.1424105318507,922.9156985821093,1203.6100764166902
0.4600816326530612,147.39393939393938,0.0010876224940862217,620.9538405723802,1.81523275501951,620.4534454395936,186.07858931472637,681.5224965575337,919.4366661570027,1174.1254260439518
0.4600816326530612,151.17070707070707,0.40824186188198686,2750.175945250899,6.86228884780352,2562.3513629187996,14.020715869211488,30.350018123746306,2.44952831488182,1086.0509161271484
0.4600816326530612,154.94747474747473,0.41265104592420887,2758.977842466759,6.882940832641524,2569.124675541918,14.179948318298585,30.660751157171582,2.423355059625049,1069.1678633315748
0.4600816326530612,158.72424242424242,0.41701614071940885,2767.648624810118,6.903106433920937,2575.78715794524,14.33906671385981,30.973433407176984,2.397988716395643,1055.9486781618375
0.4600816326530612,162.50101010101008,0.4213439345457592,2776.2138303984952,6.922853015572073,2582.361225084212,14.49808852851572,31.288069781876246,2.373358005207969,1045.173644193284
0.4600816326530612,166.27777777777777,0.42563928082258734,2784.6910626915856,6.942228055290597,2588.862247449453,14.657028078806366,31.604680647832875,2.3494072212212354,1036.1031060157156
0.4600816326530612,170.05454545454543,0.4299058240300571,2793.093050976649,6.961266763139137,2595.3012775698403,14.815897372646747,31.923292151219805,2.326090841537621,1028.2769837357935
0.4600816326530612,173.83131313131312,0.43414642674687626,2801.4294424767095,6.979996525955525,2601.686645648513,14.97470663657123,32.24393127090322,2.303370334044089,1021.4002846463105
0.4600816326530612,177.60808080808079,0.4383634254122635,2809.7078676466613,6.9984395448781305,2608.024907187598,15.133464661143604,32.566623335593526,2.2812122134950914,1015.2770291357872
0.4600816326530612,181.38484848484848,0.4425587867769413,2817.934584545413,7.016614432526233,2614.32141538012,15.2921790400391,32.89139084323869,2.2595868162121033,1009.7717272043686
0.4600816326530612,185.16161616161614,0.44673420606274805,2826.114876823583,7.034537204061669,2620.580673936265,15.450856344728976,33.21825297357197,2.238467496844288,1004.7866776401098
0.4600816326530612,188.93838383838383,0.4508911704385725,2834.2533058205754,7.05222191044105,2626.8065599763477,15.609502258513022,33.54722546901176,2.217830078658051,1000.2484314518324
0.4600816326530612,192.7151515151515,0.4550310015282552,2842.353875130615,7.0696810571678474,2633.0024690397377,15.768121683661318,33.8783207084989,2.1976524602530954,996.0996073894802
0.4600816326530612,196.49191919191918,0.4591548849980417,2850.420141825214,7.086925892054526,2639.1714126946868,15.926718829866564,34.21154787867357,2.177914321883486,992.2938603872657
0.4600816326530612,200.26868686868684,0.46326389199722984,2858.455294547351,7.103966611178537,2645.3160867680544,16.085297289060946,34.54691319001955,2.1585968975237546,988.7927251486906
0.4600816326530612,204.04545454545453,0.4673589953193796,2866.462210556907,7.120812512356344,2651.438920955273,16.243860099836663,34.8844201092779,2.139682792061441,985.5635871347467
0.4600816326530612,207.8222222222222,0.47144108203220825,2874.4434990340496,7.13747211387504,2657.542116312946,16.402409803637102,35.22406959252587,2.121155830733651,982.5783401414656
0.4600816326530612,211.59898989898988,0.4755109636611197,2882.401535125063,7.153953249402718,2663.6276746194253,16.560948494235387,35.56586031061789,2.1030009325140724,979.8124685110017
0.4600816326530612,215.37575757575755,0.47956938461429277,2890.338487531627,7.170263145944647,2669.697422087859,16.719477861609,35.90978886278249,2.085204001928268,977.2443969108413
0.4600816326530612,219.15252525252524,0.48361702929671135,2898.2563414302813,7.1864084892732505,2675.7530290126274,16.877999231053245,36.25584997647646,2.067751835484839,974.855012531527
0.4600816326530612,222.9292929292929,0.48765452821268895,2906.1569178906616,7.202395479771563,2681.796026379909,17.03651359819652,36.60403669289518,2.0506320399917484,972.6273013570111
0.4600816326530612,226.7060606060606,0.49168246326403203,2914.0418905789716,7.218229880706288,2687.827820133577,17.19502166045302,36.954340538262514,2.033832960731412,970.5460622066694
0.4600816326530612,230.48282828282825,0.4957013723920479,2921.9128002932166,7.233917060361843,2693.8497035747205,17.3535238453548,37.306751681416856,2.0173436179416195,968.597675567247
0.4600816326530612,234.25959595959594,0.49971175367309933,2929.7710677228006,7.249462029087448,2699.862868236957,17.512020336134647,37.66125907841523,2.001153650378571,966.769912360549
0.4600816326530612,238.0363636363636,0.5037140689515671,2937.6180047243524,7.264869472056771,2705.868413490799,17.670511094874865,38.017850604969645,1.9852532649751173,965.0517728096655
0.4600816326530612,241.8131313131313,0.5077087470762087,2945.454824337628,7.280143778365871,2711.8673550705657,17.828995883492908,38.37651317755959,1.969633191783274,963.4333487055251
0.4600816326530612,245.58989898989898,0.5116961867931434,2953.2826497182887,7.29528906697211,2717.8606326761533,17.98747428279785,38.737232864056665,1.9542846435247263,961.9057043713304
